到课率,习题正确率,预习率,成绩
1.000 ,,0.200 ,67
1.000 ,,0.200 ,68
1.000 ,,0.000 ,83
0.920 ,,0.800 ,70
1.000 ,,1.000 ,71
0.770 ,,0.000 ,66
0.920 ,,0.200 ,59
1.000 ,,0.200 ,81
1.000 ,,1.000 ,59
1.000 ,,0.200 ,81
1.000 ,,1.000 ,70
1.000 ,,0.200 ,67
1.000 ,,0.200 ,68
1.000 ,,0.200 ,65
1.000 ,,0.200 ,79
1.000 ,,1.000 ,76
1.000 ,,1.000 ,59
1.000 ,,0.200 ,59
1.000 ,,0.200 ,60
1.000 ,,1.000 ,85
1.000 ,,0.200 ,76
1.000 ,,0.200 ,64
0.920 ,,0.000 ,77
1.000 ,,0.200 ,82
0.770 ,,0.000 ,60
1.000 ,,0.200 ,85
1.000 ,,1.000 ,67
1.000 ,,0.200 ,70
0.920 ,,1.000 ,64
1.000 ,,0.400 ,72
0.850 ,,0.000 ,59
0.920 ,,0.200 ,62
1.000 ,,0.200 ,84
0.540 ,,0.000 ,78
1.000 ,,0.200 ,59
1.000 ,,0.000 ,74
1.000 ,,1.000 ,80
1.000 ,,0.200 ,78
1.000 ,,1.000 ,67
1.000 ,,0.200 ,66
1.000 ,,0.200 ,60
1.000 ,,0.000 ,92
1.000 ,,1.000 ,59
1.000 ,,1.000 ,60
0.920 ,,0.200 ,60
1.000 ,,0.200 ,72
1.000 ,,0.200 ,59
1.000 ,,0.200 ,64
1.000 ,,0.400 ,67
1.000 ,,0.200 ,67
1.000 ,,0.200 ,60
1.000 ,,0.400 ,76
1.000 ,,1.000 ,89
1.000 ,,1.000 ,59
1.000 ,,0.000 ,70
1.000 ,,0.200 ,59
0.540 ,,0.200 ,65
1.000 ,,0.200 ,60
0.770 ,,0.000 ,83
0.850 ,,0.321 ,77
0.850 ,,0.000 ,98
0.850 ,,0.143 ,75
0.920 ,,0.464 ,70
0.850 ,,0.714 ,65
0.850 ,,1.000 ,72
0.850 ,,0.179 ,66
0.540 ,,0.214 ,80
0.230 ,,0.036 ,69
0.920 ,,0.036 ,63
0.850 ,,0.036 ,59
0.850 ,,0.286 ,68
0.850 ,,0.357 ,75
0.770 ,,0.107 ,60
0.850 ,,0.071 ,65
0.460 ,,0.250 ,76
0.850 ,,0.250 ,59
0.920 ,,0.393 ,85
0.850 ,,0.107 ,59
0.850 ,,0.429 ,67
0.850 ,,0.321 ,83
0.920 ,,0.857 ,74
0.310 ,,0.143 ,60
0.920 ,,0.571 ,89
0.850 ,,0.143 ,60
0.920 ,,0.429 ,70
0.920 ,,0.036 ,67
0.850 ,,0.571 ,79
0.150 ,,0.071 ,59
0.690 ,,0.214 ,74
0.920 ,,0.571 ,74
0.850 ,,0.536 ,84
0.770 ,,0.036 ,59
0.770 ,,0.357 ,87
0.920 ,,0.250 ,87
0.310 ,,0.643 ,59
0.380 ,,0.214 ,76
0.850 ,,0.786 ,95
0.920 ,,0.500 ,70
0.000 ,,0.000 ,66
0.920 ,,0.500 ,60
0.850 ,,0.464 ,92
0.850 ,,0.143 ,60
0.620 ,,0.393 ,59
0.920 ,,0.357 ,74
0.920 ,,0.357 ,66
0.920 ,,0.321 ,65
0.920 ,,0.286 ,59
0.850 ,,0.536 ,76
0.850 ,,0.429 ,67
0.770 ,,0.750 ,59
0.850 ,,0.750 ,59
0.920 ,,0.714 ,66
0.920 ,,0.214 ,72
0.850 ,,0.357 ,59
0.850 ,,0.179 ,60
0.920 ,,0.429 ,81
0.920 ,,0.929 ,74
0.920 ,,0.214 ,65
0.920 ,,0.286 ,59
0.920 ,,0.786 ,68
0.690 ,,0.179 ,80
0.850 ,,0.071 ,81
0.920 ,,0.107 ,85
0.770 ,,0.893 ,80
0.920 ,,0.357 ,65
0.850 ,,0.571 ,86
0.920 ,,0.429 ,83
0.920 ,,0.250 ,59
0.690 ,,0.286 ,59
0.920 ,,0.393 ,85
0.850 ,,0.071 ,81
0.940 ,0.783 ,,75
0.560 ,0.777 ,,70
0.750 ,0.620 ,,59
0.690 ,0.277 ,,59
0.880 ,0.584 ,,65
1.000 ,0.711 ,,70
0.000 ,0.000 ,,61
0.940 ,0.584 ,,60
0.750 ,0.554 ,,59
0.690 ,0.651 ,,60
0.690 ,0.536 ,,60
0.880 ,0.657 ,,70
0.940 ,0.633 ,,59
1.000 ,0.717 ,,80
0.880 ,0.693 ,,62
0.810 ,0.602 ,,60
0.880 ,0.614 ,,60
0.880 ,0.488 ,,59
0.940 ,0.723 ,,60
0.750 ,0.602 ,,59
0.750 ,0.717 ,,59
0.880 ,0.548 ,,62
0.690 ,0.608 ,,60
0.880 ,0.343 ,,59
0.880 ,0.735 ,,70
0.500 ,0.337 ,,60
0.810 ,0.627 ,,67
0.940 ,0.693 ,,70
0.880 ,0.795 ,,66
0.600 ,0.012 ,0.026 ,73
0.600 ,0.006 ,0.158 ,65
0.000 ,0.047 ,0.289 ,84
1.000 ,0.355 ,0.746 ,77
1.000 ,0.419 ,1.000 ,90
0.870 ,0.395 ,0.518 ,83
1.000 ,0.238 ,0.754 ,83
0.930 ,0.448 ,0.798 ,88
1.000 ,0.372 ,0.754 ,79
1.000 ,0.337 ,0.877 ,81
1.000 ,0.343 ,0.816 ,83
0.930 ,0.291 ,0.675 ,79
